story,gen,ind,model,temp,valid,validation,fitness,time_llm,time_lean,sgm_sd_sum,sgm_max,lcom_avg,coupling_max
g02-federalspending.txt,1,0,gpt-4o-mini,0.5,True,,5.566000000000001,12.86,2.47,1.471,3,0.095,1
g02-federalspending.txt,1,1,gpt-4o-mini,0.5,True,,5.082,13.76,2.31,0.971,3,0.111,1
g02-federalspending.txt,1,2,gpt-4o-mini,0.5,True,,5.111000000000001,11.06,2.68,1,3,0.111,1
g02-federalspending.txt,1,3,gpt-4o-mini,0.5,True,,6.556,13.35,5.96,1.5,4,0.056,1
g02-federalspending.txt,1,4,gpt-4o-mini,0.5,True,,5.5,25.96,11.42,0.5,3,0,2
g02-federalspending.txt,1,5,gpt-4o-mini,0.5,True,,8.6,16.5,10.59,2.433,4,0.167,2
g02-federalspending.txt,1,6,gpt-4o-mini,0.5,True,,6.665,18.73,6.46,2.443,3,0.222,1
g02-federalspending.txt,1,7,gpt-4o-mini,0.5,True,,7.056,17.64,4.55,1,4,0.056,2
g02-federalspending.txt,1,8,gpt-4o-mini,0.5,False,Unknown callee: Notification,1000028.0,13.75,4.05,,,,
g02-federalspending.txt,1,9,gpt-4o-mini,0.5,True,,6.133,15.32,2.55,1.943,3,0.19,1
g02-federalspending.txt,2,0,gpt-4o-mini,0.5,True,,5.038,11.75,3.53,0.943,3,0.095,1
g02-federalspending.txt,2,1,gpt-4o-mini,0.5,True,,7.165,11.87,5.29,0.971,4,0.194,2
g02-federalspending.txt,2,2,gpt-4o-mini,0.5,True,,4.971,20.64,2.17,0.971,3,0,1
g02-federalspending.txt,2,3,gpt-4o-mini,0.5,True,,8.15,10.85,2.16,0.99,5,0.16,2
g02-federalspending.txt,2,4,gpt-4o-mini,0.5,False,Unknown callee: Notification,1000028.0,11.26,2.27,1.943,3,0.19,1
g02-federalspending.txt,2,0,gpt-4o-mini,0.5,True,,5.082,14.02,2.12,0.971,3,0.111,1
g02-federalspending.txt,2,1,gpt-4o-mini,0.5,True,,7.665,16.71,15.99,2.443,3,0.222,2
g02-federalspending.txt,2,2,gpt-4o-mini,0.5,True,,5.111000000000001,14.63,5.27,1,3,0.111,1
g02-federalspending.txt,2,3,gpt-4o-mini,0.5,True,,8.138,13.98,2.07,2.876,4,0.262,1
g02-federalspending.txt,2,4,gpt-4o-mini,0.5,True,,7.303,12.82,2.11,1.914,3,0.389,2
g02-federalspending.txt,3,0,gpt-4o-mini,0.5,True,,8.138,11.26,2.13,1.971,4,0.167,2
g02-federalspending.txt,3,1,gpt-4o-mini,0.5,True,,5.165,11.08,2.35,0.943,3,0.222,1
g02-federalspending.txt,3,2,gpt-4o-mini,0.5,True,,7.247,14.48,4.95,1.914,3,0.333,2
g02-federalspending.txt,3,3,gpt-4o-mini,0.5,True,,5.111000000000001,14.12,3.75,1,3,0.111,1
g02-federalspending.txt,3,4,gpt-4o-mini,0.5,True,,5.665,11.79,4.25,1.443,3,0.222,1
g02-federalspending.txt,3,0,gpt-4o-mini,0.5,True,,4.971,13.57,3.43,0.971,3,0,1
g02-federalspending.txt,3,1,gpt-4o-mini,0.5,True,,4.471,16.81,2.48,0.471,3,0,1
g02-federalspending.txt,3,2,gpt-4o-mini,0.5,True,,5.604,17.05,3.0,1.414,3,0.19,1
g02-federalspending.txt,3,3,gpt-4o-mini,0.5,True,,5.038,15.16,6.88,0.943,3,0.095,1
g02-federalspending.txt,3,4,gpt-4o-mini,0.5,True,,5.604,12.41,3.93,1.414,3,0.19,1
g02-federalspending.txt,4,0,gpt-4o-mini,0.5,True,,4.5,13.98,4.19,0.5,3,0,1
g02-federalspending.txt,4,1,gpt-4o-mini,0.5,True,,4.971,15.54,3.91,0.971,3,0,1
g02-federalspending.txt,4,2,gpt-4o-mini,0.5,True,,5.604,14.71,3.68,1.414,3,0.19,1
g02-federalspending.txt,4,3,gpt-4o-mini,0.5,True,,6.5,16.03,4.55,1.5,3,0,2
g02-federalspending.txt,4,4,gpt-4o-mini,0.5,True,,5.165,17.18,18.59,0.943,3,0.222,1
g02-federalspending.txt,4,0,gpt-4o-mini,0.5,True,,4.471,20.95,11.69,0.471,3,0,1
g02-federalspending.txt,4,1,gpt-4o-mini,0.5,True,,4.471,21.85,17.63,0.471,3,0,1
g02-federalspending.txt,4,2,gpt-4o-mini,0.5,True,,4.471,17.38,8.63,0.471,3,0,1
g02-federalspending.txt,4,3,gpt-4o-mini,0.5,True,,4.471,15.82,11.83,0.471,3,0,1
g02-federalspending.txt,4,4,gpt-4o-mini,0.5,True,,4.471,20.15,3.92,0.471,3,0,1
g02-federalspending.txt,5,0,gpt-4o-mini,0.5,True,,4.471,14.35,5.7,0.471,3,0,1
g02-federalspending.txt,5,1,gpt-4o-mini,0.5,True,,4.471,16.96,5.71,0.471,3,0,1
g02-federalspending.txt,5,2,gpt-4o-mini,0.5,True,,5.5,19.59,2.25,1.5,3,0,1
g02-federalspending.txt,5,3,gpt-4o-mini,0.5,True,,4.471,14.62,4.5,0.471,3,0,1
g02-federalspending.txt,5,4,gpt-4o-mini,0.5,True,,4.471,12.82,10.92,0.471,3,0,1
g02-federalspending.txt,5,0,gpt-4o-mini,0.5,True,,4.471,13.86,2.37,0.471,3,0,1
g02-federalspending.txt,5,1,gpt-4o-mini,0.5,True,,4.471,14.26,3.85,0.471,3,0,1
g02-federalspending.txt,5,2,gpt-4o-mini,0.5,True,,4.471,13.86,2.18,0.471,3,0,1
g02-federalspending.txt,5,3,gpt-4o-mini,0.5,True,,4.471,34.55,2.4,0.471,3,0,1
g02-federalspending.txt,5,4,gpt-4o-mini,0.5,True,,4.471,11.89,3.13,0.471,3,0,1
g03-loudoun.txt,1,0,gpt-4o-mini,0.5,True,,13.762,20.09,2.33,2.305,10,0.457,1
g03-loudoun.txt,1,1,gpt-4o-mini,0.5,False,Unknown callee: Notification,1000028.0,19.03,2.17,,,,
g03-loudoun.txt,1,2,gpt-4o-mini,0.5,False,Unknown callee: Notification,1000028.0,22.4,2.42,,,,
g03-loudoun.txt,1,3,gpt-4o-mini,0.5,True,,14.972,19.81,2.55,1.833,12,0.139,1
g03-loudoun.txt,1,4,gpt-4o-mini,0.5,False,Unknown callee: Notification,1000028.0,16.97,2.15,,,,
g03-loudoun.txt,1,5,gpt-4o-mini,0.5,True,,15.644,21.86,2.59,2.314,12,0.33,1
g03-loudoun.txt,1,6,gpt-4o-mini,0.5,True,,16.936999999999998,25.68,4.55,2.753,13,0.184,1
g03-loudoun.txt,1,7,gpt-4o-mini,0.5,True,,14.600000000000001,21.93,2.27,1.326,12,0.274,1
g03-loudoun.txt,1,8,gpt-4o-mini,0.5,True,,12.530000000000001,21.93,2.25,2.32,9,0.21,1
g03-loudoun.txt,1,9,gpt-4o-mini,0.5,True,,16.115000000000002,17.09,2.21,1.802,13,0.313,1
g03-loudoun.txt,2,0,gpt-4o-mini,0.5,True,,12.022,15.9,3.7,2.866,8,0.156,1
g03-loudoun.txt,2,1,gpt-4o-mini,0.5,True,,8.55,23.86,4.6,2.313,5,0.237,1
g03-loudoun.txt,2,2,gpt-4o-mini,0.5,True,,15.401,28.44,3.88,1.837,12,0.564,1
g03-loudoun.txt,2,3,gpt-4o-mini,0.5,True,,12.943000000000001,29.11,2.98,2.745,9,0.198,1
g03-loudoun.txt,2,4,gpt-4o-mini,0.5,True,,8.042,15.62,5.9,1.804,5,0.238,1
g03-loudoun.txt,2,0,gpt-4o-mini,0.5,True,,9.863,16.89,4.14,2.787,6,0.076,1
g03-loudoun.txt,2,1,gpt-4o-mini,0.5,True,,9.958,18.82,2.26,2.758,6,0.2,1
g03-loudoun.txt,2,2,gpt-4o-mini,0.5,True,,9.472000000000001,17.77,2.55,2.277,6,0.195,1
g03-loudoun.txt,2,3,gpt-4o-mini,0.5,True,,12.530000000000001,22.33,5.11,2.32,9,0.21,1
g03-loudoun.txt,2,4,gpt-4o-mini,0.5,True,,13.588000000000001,25.92,4.07,1.304,11,0.284,1
g03-loudoun.txt,3,0,gpt-4o-mini,0.5,True,,16.166,19.64,2.47,1.807,13,0.359,1
g03-loudoun.txt,3,1,gpt-4o-mini,0.5,True,,14.294,22.44,2.04,2.807,10,0.487,1
g03-loudoun.txt,3,2,gpt-4o-mini,0.5,True,,12.530000000000001,18.66,4.02,2.32,9,0.21,1
g03-loudoun.txt,3,3,gpt-4o-mini,0.5,True,,16.011,25.41,5.08,2.776,12,0.235,1
g03-loudoun.txt,3,4,gpt-4o-mini,0.5,True,,13.645999999999999,23.81,5.59,2.196,10,0.45,1
g03-loudoun.txt,3,0,gpt-4o-mini,0.5,True,,9.863,19.76,2.42,2.787,6,0.076,1
g03-loudoun.txt,3,1,gpt-4o-mini,0.5,True,,8.48,21.68,2.17,2.304,5,0.176,1
g03-loudoun.txt,3,2,gpt-4o-mini,0.5,True,,9.863,16.31,2.35,2.787,6,0.076,1
g03-loudoun.txt,3,3,gpt-4o-mini,0.5,True,,9.472000000000001,15.39,2.35,2.277,6,0.195,1
g03-loudoun.txt,3,4,gpt-4o-mini,0.5,True,,9.472000000000001,15.23,2.18,2.277,6,0.195,1
g03-loudoun.txt,4,0,gpt-4o-mini,0.5,True,,9.472000000000001,20.75,3.2,2.277,6,0.195,1
g03-loudoun.txt,4,1,gpt-4o-mini,0.5,True,,9.472000000000001,16.87,2.08,2.277,6,0.195,1
g03-loudoun.txt,4,2,gpt-4o-mini,0.5,True,,9.472000000000001,17.12,2.1,2.277,6,0.195,1
g03-loudoun.txt,4,3,gpt-4o-mini,0.5,True,,9.863,16.52,3.7,2.787,6,0.076,1
g03-loudoun.txt,4,4,gpt-4o-mini,0.5,True,,9.863,15.04,2.54,2.787,6,0.076,1
g03-loudoun.txt,4,0,gpt-4o-mini,0.5,True,,9.863,18.89,5.04,2.787,6,0.076,1
g03-loudoun.txt,4,1,gpt-4o-mini,0.5,True,,9.863,18.33,2.34,2.787,6,0.076,1
g03-loudoun.txt,4,2,gpt-4o-mini,0.5,True,,8.48,16.58,2.16,2.304,5,0.176,1
g03-loudoun.txt,4,3,gpt-4o-mini,0.5,True,,9.472000000000001,18.61,6.01,2.277,6,0.195,1
g03-loudoun.txt,4,4,gpt-4o-mini,0.5,True,,9.863,19.93,5.57,2.787,6,0.076,1
g03-loudoun.txt,5,0,gpt-4o-mini,0.5,True,,9.472000000000001,23.33,2.17,2.277,6,0.195,1
g03-loudoun.txt,5,1,gpt-4o-mini,0.5,True,,9.472000000000001,23.07,2.2,2.277,6,0.195,1
g03-loudoun.txt,5,2,gpt-4o-mini,0.5,True,,8.48,16.96,5.35,2.304,5,0.176,1
g03-loudoun.txt,5,3,gpt-4o-mini,0.5,True,,9.472000000000001,19.03,6.58,2.277,6,0.195,1
g03-loudoun.txt,5,4,gpt-4o-mini,0.5,True,,9.472000000000001,22.29,5.8,2.277,6,0.195,1
g03-loudoun.txt,5,0,gpt-4o-mini,0.5,True,,9.472000000000001,23.34,2.21,2.277,6,0.195,1
g03-loudoun.txt,5,1,gpt-4o-mini,0.5,True,,9.472000000000001,21.36,3.61,2.277,6,0.195,1
g03-loudoun.txt,5,2,gpt-4o-mini,0.5,True,,8.48,15.07,2.18,2.304,5,0.176,1
g03-loudoun.txt,5,3,gpt-4o-mini,0.5,True,,9.472000000000001,23.66,2.02,2.277,6,0.195,1
g03-loudoun.txt,5,4,gpt-4o-mini,0.5,True,,9.472000000000001,20.2,3.67,2.277,6,0.195,1
g04-recycling.txt,1,0,gpt-4o-mini,0.5,True,,13.357,18.66,2.26,2.178,9,0.179,2
g04-recycling.txt,1,1,gpt-4o-mini,0.5,True,,11.947,13.82,4.09,1.773,8,0.174,2
g04-recycling.txt,1,2,gpt-4o-mini,0.5,True,,13.116,24.18,5.84,2.767,9,0.349,1
g04-recycling.txt,1,3,gpt-4o-mini,0.5,True,,11.985,23.94,5.56,2.641,7,0.344,2
g04-recycling.txt,1,4,gpt-4o-mini,0.5,True,,10.957999999999998,20.14,2.28,1.633,8,0.325,1
g04-recycling.txt,1,5,gpt-4o-mini,0.5,True,,12.924000000000001,17.99,5.36,1.608,10,0.316,1
g04-recycling.txt,1,6,gpt-4o-mini,0.5,True,,10.897,19.34,2.09,2.738,7,0.159,1
g04-recycling.txt,1,7,gpt-4o-mini,0.5,True,,11.038,19.64,4.0,1.727,8,0.311,1
g04-recycling.txt,1,8,gpt-4o-mini,0.5,True,,9.808,20.08,5.45,1.616,7,0.192,1
g04-recycling.txt,1,9,gpt-4o-mini,0.5,True,,11.475000000000001,19.19,6.63,2.027,7,0.448,2
g04-recycling.txt,2,0,gpt-4o-mini,0.5,True,,14.949,20.63,4.1,2.611,10,0.338,2
g04-recycling.txt,2,1,gpt-4o-mini,0.5,True,,10.997,13.08,2.21,1.647,8,0.35,1
g04-recycling.txt,2,2,gpt-4o-mini,0.5,True,,15.587,18.78,4.37,2.257,10,0.33,3
g04-recycling.txt,2,3,gpt-4o-mini,0.5,True,,14.652000000000001,21.54,4.05,2.159,9,0.493,3
